Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Have They Any Wool?-1","Tone Of Arc","I Know Who You Are","cratediggers.anon","Playlist","QMWN41100022","490XXMy43gPj0ucsz4fUOK"
"Venus (Sunshine People) [DJ Gregory Remix]","Cheek","Venus (sunshine people)","cratediggers.anon","Playlist","FR6V89704335","3xUHVU3Cfqfs5I7tECQt2g"
"Plastic Dreams","Jaydee","Plastic Dreams","cratediggers.anon","Playlist","NLC281011779","5mES4lfufA5pVgj9JAHbUI"
"Dance-Club Mix","Earth People","Dance","cratediggers.anon","Playlist","USI4R0806779","5HFOJLg0YMmPv3srRlNJhj"
"Disco Sound - Dull Mix","Smoke Machine","Mantra Vibes Collection, Vol. 3","cratediggers.anon","Playlist","IT00G9520071","1lzmQi0xpw6mY2KSpDEomc"
"God Made Me Phunky (Extended Mix)","MD X-Spress","God Made Me Phunky","cratediggers.anon","Playlist","GBCPZ0802582","4tvejslaZsD6Y0pFCWipwJ"
"Quaint","Marc Faenger","Komodo EP","cratediggers.anon","Playlist","NLSAR1202703","28oV764yKLMGUyaBDWFPRc"
"Funky Shit - Martin Buttrich Vox Bits","Matty Heilbronn","Jam Files 04","cratediggers.anon","Playlist","DEP081100059","2yY4PisVqpnXLKiWehZDvm"
"Chez C. Untitled - Extended Mix","Chez Damier","Untitled E.P.","cratediggers.anon","Playlist","QMVZM1200048","42ZhIIZdBf6JJoY7IdI0C7"
"Criminal Droppin'","Alci","Unknown Peaks EP","cratediggers.anon","Playlist","FR48Z1400123","3z2Aem61X1Feby6TDAPDyL"
"I Feel The Rhythm","Ron Trent","Primitive Arts","cratediggers.anon","Playlist","GBEWK9900023","2JVzNkHarX3ceGbOB4aF6Q"
"Track 1 Revisited - Reel to Reel Mix","Kerri Chandler","Track 1 Revisited - Single","cratediggers.anon","Playlist","USJ5L0900030","3M29ceOrJWtL0Q6L4uXcbK"
"Feel The Music","Eddie Richards","Eightone 8","cratediggers.anon","Playlist","BEN580300049","1ZgJns2dkQS22MmpOwqxPI"
"Alone","Kevin Yost","Ladies Night Out (BeatKilla)","cratediggers.anon","Playlist","USAQN1145304","5KkS9issEGYj7SmbDONCkj"
"Cycles Of Life","Raymond Castoldi","X-Ray Records 1992-1994","cratediggers.anon","Playlist","NL1MT2000081","1Be7MW2goAgt6Ggyk2WcKK"
"I Can Feel Warm Sun On My Face","Sunshine Jones","Belle Ame Electronique","cratediggers.anon","Playlist","USA671200409","7Hl2pQln0Ah8l9DJCXYR0y"
"I See You Dancing - Original Mix","Mood II Swing","I See You Dancing","cratediggers.anon","Playlist","USZ871200210","3GVyzDR0G8V1Xxko549R7N"
"Do The Freak","Nature Boy","Unreleased Ruffness 1993-1994","cratediggers.anon","Playlist","NLM651900013","275qeicpx21HevVjnpJXs9"
"In the Morning","Mike Sharon","A Groove Livin' EP","cratediggers.anon","Playlist","FR6V81861915","4y09XNQ5dSUo0daDN0dWmP"
"Work That Body","K-Hand","Sounds","cratediggers.anon","Playlist","US3L62100543","1h3LHD3iDbP4MGYNeQG4N5"
"Music People","Moodymann","Silentintroduction","cratediggers.anon","Playlist","usdy41620840","3og6H9EY7uK39wRHdnmZ8h"
"Let It Play - Rap Mix","Bushwacka!","Let It Play","cratediggers.anon","Playlist","DEZ651607264","6aHvgkBva2qXPdaH2IYfYp"
"The Hague Soul","Makam","The Hague Soul","cratediggers.anon","Playlist","DECY50822011","5Qx955brXRW3Y0zi3wioBh"
"Lock Down","Joaquin ""Joe"" Claussell","Raw Tones","cratediggers.anon","Playlist","GBLTF2100077","0jGZYgJjIO136XhNinA4s6"
"Can't Take It - Milton Jackson Remix","Dwele","Can't Take It (Remixes)","cratediggers.anon","Playlist","USPC81101176","0IDoNhpKBMDUT9YK5vIEyy"
"Oscillator","Paperclip People","The Secret Tapes Of Dr. Eich","cratediggers.anon","Playlist","USPC80601056","71GF6Jpd5GYDfQnF29AmrP"
"Got To Be - Herbert Remix","Vincenzo","Got To Be","cratediggers.anon","Playlist","DEL029620040","5YQBgOGH9dNAfLoepMtW2t"
"325","Basement Jaxx","Summer Daze EP","cratediggers.anon","Playlist","GBEHB0400031","6dagpAE992lacnYS4ZmS14"
"Spinal Tap","Larry Heard","Dance 2000, Part 2","cratediggers.anon","Playlist","US4G90400387","5zsPdqUkn9DtdZ313A8XF8"
"Ux2 - Ron Bacardi Remix","Purveyors Of Fine Funk","Ux2","cratediggers.anon","Playlist","UKACT1931087","4IBOEGd9yBg4iQme2lxNH3"
"Toi et moi","Marcu Rares","Toi et moi","cratediggers.anon","Playlist","QZHN91977032","44HBdeU1q3rcUA6iUZ3bB7"
